date,amount,vendor,mess,items
2024-02-20,8245,METRO SUPPLY,MESS I,Mustard Seeds|Curry Leaves|Onion|Potato
2024-02-21,34640,CITY PROVISIONS,MESS G,Turmeric|Onion|Tamarind|Toor Dal|Tomato
2024-02-22,1733,PRIME PROVISIONS,MESS J,Soya Chunks|Potato
2024-02-22,13480,KRISHNA STORES,MESS J,Mustard Seeds|Curry Leaves|Onion|Potato
2024-02-23,98238,SRI VENKATA AGRO,MESS E,Garam Masala|Basmati Rice|Oats|Coriander Powder|Onion|Tomato
2024-02-24,24436,AGRO TRADERS,MESS I,Cornflour|Pepper|Poha|Salt
2024-02-25,18849,FARM FRESH,MESS E,Turmeric|Onion|Tamarind|Toor Dal|Tomato
2024-02-25,36946,SRI VENKATA AGRO,MESS B,Capsicum|Mustard Oil|Curry Leaves|Potato|Onion|Mustard Seeds
2024-02-26,21388,BEST BULK,MESS C,Cabbage|Wheat Flour|Sugar|Ghee
2024-02-27,49490,LAKSHMI TRADERS,MESS J,Chana Dal|Floor Cleaner|Curry Leaves|Tofu|Mustard Seeds|Coconut
2024-02-28,5864,GRAIN MART,MESS F,Jaggery|Curry Leaves|Potato|Onion|Mustard Seeds
2024-02-29,38772,ANANDA FOODS,MESS I,Chana Dal|Poha|Jaggery|Curry Leaves|Mustard Seeds|Coconut
2024-03-01,9985,GOODNESS GRAINS,MESS F,Coconut|Scrub Pad
2024-03-01,34880,NATURE BASKET,MESS I,Coriander Powder|Wheat Flour|Sugar|Ghee
2024-03-02,60761,GREEN LEAF,MESS B,Garam Masala|Curd|Sugar|Semolina|Ghee|Milk
2024-03-03,16939,CITY PROVISIONS,MESS G,Biscuits|Pickle|Curd
2024-03-04,24722,CITY PROVISIONS,MESS I,Garam Masala|Red Chilli Powder|Coriander Powder|Wheat Flour|Onion|Tomato
2024-03-04,12803,VEGGIE HUB,MESS B,Watermelon|Pickle|Curd|Mango
2024-03-05,14845,ANANDA FOODS,MESS C,Curry Leaves|Red Chilli Powder
2024-03-06,36231,MASALA KING,MESS I,Spinach|Moong Dal|Cumin
2024-03-06,8678,AGRO TRADERS,MESS I,Wheat Flour|Sugar|Ghee
2024-03-07,21323,DAIRY PLUS,MESS I,Toor Dal|Potato|Yam|Jaggery
2024-03-08,28355,SUNNY FOODS,MESS A,Garam Masala|Coriander Powder|Onion|Tomato|Bitter Gourd|Chicken
2024-03-09,7219,HERITAGE FOODS,MESS C,Cocoa Powder|Curry Leaves|Potato|Onion|Mustard Seeds
2024-03-10,8957,BEST BULK,MESS J,Pickle|Curd|Bitter Gourd
2024-03-11,27754,SPICE VALLEY,MESS B,Chicken|Papaya|Wheat Flour|Dish Soap|Banana
2024-03-12,48491,RICE WORLD,MESS B,Bread|Butter|Eggs
2024-03-13,22535,PURE HARVEST,MESS H,Garam Masala|Drumstick|Coriander Powder|Onion|Tomato|Chicken
2024-03-14,52237,GRAIN MART,MESS F,Soy Sauce|Cocoa Powder|Sugar|Wheat Flour|Ghee
2024-03-15,42764,SARAVANA STORES,MESS A,Curry Leaves|Watermelon|Potato|Onion|Mustard Seeds|Pepper
2024-03-15,40033,METRO SUPPLY,MESS F,Mustard Seeds|Bread|Butter|Eggs
2024-03-16,28768,SRI VENKATA AGRO,MESS E,Toor Dal|Salt|Fish|Carrot|Watermelon
2024-03-16,31063,ANANDA FOODS,MESS G,Jaggery|Spinach|Moong Dal|Cumin
2024-03-17,7759,CITY PROVISIONS,MESS G,Wheat Flour|Sugar|Ghee
2024-03-18,23553,SUNNY FOODS,MESS G,Fish|Soya Chunks
2024-03-19,5842,SRI VENKATA AGRO,MESS F,Mustard Seeds|Curry Leaves|Onion|Potato
2024-03-20,48137,PRIME PROVISIONS,MESS E,Mutton|Curd|Vanilla Essence
2024-03-21,36523,APEX AGRO,MESS H,Baking Soda|Palm Oil|Broken Wheat|Bread
2024-03-22,4902,HERITAGE FOODS,MESS F,Pickle|Curd
2024-03-23,60612,SUNNY FOODS,MESS H,Mutton|Chana Dal|Broken Wheat
2024-03-24,17313,SPICE VALLEY,MESS C,Jaggery|Soy Sauce
2024-03-24,22039,PADMA PROVISIONS,MESS J,Wheat Flour|Coconut|Sugar|Ghee
2024-03-25,31186,MASALA KING,MESS F,Toor Dal|Drumstick|Cabbage|Floor Cleaner
2024-03-25,33497,METRO SUPPLY,MESS C,Onion|Hand Wash|Tofu
2024-03-26,57579,METRO SUPPLY,MESS J,Sugar|Tofu|Tamarind|Milk|Tea Powder
2024-03-27,39235,FLOUR MILL CO,MESS H,Turmeric|Onion|Tamarind|Toor Dal|Tomato
2024-03-28,12349,GREEN LEAF,MESS F,Coriander Powder|Banana|Biscuits
2024-03-28,64654,MASALA KING,MESS C,Curry Leaves|Potato|Onion|Mustard Seeds|Mutton
2024-03-29,11301,SRI VENKATA AGRO,MESS H,Curry Leaves|Potato|Wheat Flour|Onion|Mustard Seeds
2024-03-30,9260,KRISHNA STORES,MESS J,Curd|Papaya|Sona Masoori Rice|Urad Dal|Salt
2024-03-31,21390,SUNNY FOODS,MESS I,Garam Masala|Jaggery|Coriander Powder|Onion|Bread|Tomato
2024-04-01,23438,PRIME PROVISIONS,MESS C,Sugar|Semolina|Ghee|Milk|Coconut
2024-04-01,46699,VEGGIE HUB,MESS J,Coconut Oil|Mutton|Sunflower Oil
2024-04-02,41837,KRISHNA STORES,MESS J,Turmeric|Onion|Tamarind|Groundnut Oil|Toor Dal|Tomato
2024-04-03,45789,LAKSHMI TRADERS,MESS J,Turmeric|Coffee Powder|Onion|Tamarind|Toor Dal|Tomato
2024-04-03,55550,FRESH FARMS,MESS H,Vanilla Essence|Wheat Flour|Sugar|Ghee
2024-04-04,41777,VEGGIE HUB,MESS I,Coffee Powder|Mango|Butter|Bread|Eggs
2024-04-05,15513,BEST BULK,MESS E,Ridge Gourd|Milk|Biscuits
2024-04-05,55155,APEX AGRO,MESS H,Curd|Butter|Bread|Eggs|Milk
2024-04-06,11443,FLOUR MILL CO,MESS A,Sugar|Pickle|Curd
2024-04-06,26602,BHARATH SUPPLIERS,MESS I,Urad Dal|Mutton|Eggs
2024-04-07,24490,GRAIN MART,MESS B,Spinach|Moong Dal|Cumin
2024-04-08,25177,SARAVANA STORES,MESS H,Sugar|Coconut Oil|Milk|Tea Powder
2024-04-09,22123,GRAIN MART,MESS C,Wheat Flour|Sugar|Ghee
2024-04-09,10966,BHARATH SUPPLIERS,MESS E,Butter|Papad
2024-04-10,34582,KRISHNA STORES,MESS C,Yam|Beans|Masoor Dal|Groundnut Oil|Potato
2024-04-11,165222,RICE WORLD,MESS J,Asafoetida|Banana|Coconut Oil|Chana Dal|Mustard Seeds
2024-04-11,28367,MASALA KING,MESS H,Butter|Semolina|Pickle|Sona Masoori Rice
2024-04-12,39803,CITY PROVISIONS,MESS I,Vanilla Essence|Rajma|Floor Cleaner|Paneer
2024-04-13,56790,SUNNY FOODS,MESS G,Papaya|Baking Soda|Brinjal|Ridge Gourd|Food Color
2024-04-13,14720,GRAIN MART,MESS I,Pickle|Papaya|Soya Chunks
2024-04-14,46457,KRISHNA STORES,MESS B,Oats|Vinegar|Black Chana|Banana|Tamarind
2024-04-14,41618,FRESH FARMS,MESS G,Turmeric|Semolina|Brinjal|Onion|Tamarind|Toor Dal
2024-04-15,27244,BHARATH SUPPLIERS,MESS H,Garam Masala|Coriander Powder|Onion|Tomato|Chicken
2024-04-16,39378,CITY PROVISIONS,MESS I,Bread|Butter|Eggs
2024-04-17,46628,FRESH FARMS,MESS A,Yeast|Watermelon|Asafoetida|Papaya|Cumin
2024-04-18,46576,DAIRY PLUS,MESS A,Mutton|Wheat Flour|Bitter Gourd|Cauliflower|Broken Wheat
2024-04-18,30648,MASALA KING,MESS I,Turmeric|Onion|Tamarind|Toor Dal|Tomato
2024-04-19,44527,MASALA KING,MESS E,Curry Leaves|Butter|Milk
2024-04-19,17625,METRO SUPPLY,MESS G,Palm Oil|Scrub Pad
2024-04-20,86325,AGRO TRADERS,MESS C,Bitter Gourd|Capsicum|Butter|Peas|Soy Sauce
2024-04-21,10431,GREEN LEAF,MESS B,Chana Dal|Papaya|Beans|Vermicelli
2024-04-22,24248,PADMA PROVISIONS,MESS D,Bread|Butter|Eggs|Sona Masoori Rice
2024-04-22,31696,APEX AGRO,MESS D,Curd|Sugar|Coconut Oil|Milk|Tea Powder
2024-04-23,13033,DAIRY PLUS,MESS H,Cauliflower|Coriander Powder|Sunflower Oil|Curry Leaves
2024-04-24,46738,BEST BULK,MESS G,Sugar|Spinach|Milk|Tea Powder
2024-04-25,32656,PRIME PROVISIONS,MESS H,Vinegar|Onion|Turmeric|Green Moong|Watermelon
2024-04-26,51041,CITY PROVISIONS,MESS A,Green Moong|Dish Soap|Spinach|Broken Wheat|Soya Chunks
2024-04-26,13650,BHARATH SUPPLIERS,MESS J,Wheat Flour|Basmati Rice|Papaya|Bread|Curry Leaves
2024-04-27,7148,CITY PROVISIONS,MESS G,Urad Dal|Moong Dal|Mango
2024-04-27,15446,SUNNY FOODS,MESS E,Coriander Powder|Mustard Seeds
2024-04-28,13657,GOODNESS GRAINS,MESS B,Chana Dal|Mustard Seeds
2024-04-29,16774,RICE WORLD,MESS B,Garam Masala|Papad|Coriander Powder|Onion|Groundnut Oil|Tomato
2024-04-30,4349,BHARATH SUPPLIERS,MESS E,Tomato|Sunflower Oil
2024-05-01,34429,AGRO TRADERS,MESS B,Mustard Seeds|Chana Dal|Curry Leaves|Coconut
2024-05-01,33510,HERITAGE FOODS,MESS B,Bread|Butter|Eggs
2024-05-02,50128,ANANDA FOODS,MESS G,Maida|Floor Cleaner|Yam|Jaggery
2024-05-02,10902,CITY PROVISIONS,MESS J,Tofu|Paneer
2024-05-03,20185,METRO SUPPLY,MESS C,Red Chilli Powder|Urad Dal|Chana Dal|Basmati Rice
2024-05-03,30359,FARM FRESH,MESS H,Urad Dal|Maida|Chana Dal|Turmeric|Bread
2024-05-04,16523,PADMA PROVISIONS,MESS D,Food Color|Cumin|Onion
2024-05-04,13578,RICE WORLD,MESS G,Curry Leaves|Potato|Onion|Cornflour|Mustard Seeds
2024-05-05,23362,AGRO TRADERS,MESS F,Groundnut Oil|Sugar|Salt|Tissue Paper|Chicken
2024-05-06,23138,FLOUR MILL CO,MESS H,Coconut Oil|Cumin|Milk
2024-05-06,36929,PADMA PROVISIONS,MESS C,Soy Sauce|Cauliflower
2024-05-07,34970,HERITAGE FOODS,MESS G,Floor Cleaner|Butter|Bitter Gourd
2024-05-07,20456,ANANDA FOODS,MESS H,Watermelon|Rava|Red Chilli Powder|Cocoa Powder|Papaya
2024-05-08,14978,CITY PROVISIONS,MESS G,Salt|Urad Dal|Sona Masoori Rice|Moong Dal
2024-05-08,42422,MASALA KING,MESS H,Vanilla Essence|Spinach|Eggs|Moong Dal|Cumin
2024-05-09,61441,DAIRY PLUS,MESS C,Bread|Butter|Eggs|Cauliflower
2024-05-09,42661,NATURE BASKET,MESS F,Turmeric|Masoor Dal|Wheat Flour|Onion|Tamarind|Toor Dal
2024-05-10,17157,NATURE BASKET,MESS D,Carrot|Floor Cleaner|Hand Wash
2024-05-11,22305,FARM FRESH,MESS G,Sugar|Milk|Tea Powder
2024-05-12,32114,GREEN LEAF,MESS D,Mango|Horlicks|Curry Leaves|Potato|Onion|Mustard Seeds
2024-05-13,16827,CITY PROVISIONS,MESS E,Yeast|Green Moong
2024-05-14,28711,VEGGIE HUB,MESS I,Mustard Seeds|Chana Dal|Curry Leaves|Coconut
2024-05-15,11609,BHARATH SUPPLIERS,MESS C,Curd|Green Moong|Carrot|Sunflower Oil|Jaggery
2024-05-15,33721,PADMA PROVISIONS,MESS I,Food Color|Horlicks|Tamarind|Sugar|Onion
2024-05-16,51656,PRIME PROVISIONS,MESS H,Bread|Banana|Masoor Dal|Pickle|Yam
2024-05-17,24848,GOODNESS GRAINS,MESS D,Turmeric|Raw Banana|Onion|Tamarind|Toor Dal|Tomato
2024-05-18,48791,APEX AGRO,MESS J,Mutton|Green Moong|Cauliflower
2024-05-19,16906,GREEN LEAF,MESS E,Yeast|Curry Leaves|Potato|Onion|Mustard Seeds|Moong Dal
2024-05-20,30790,PRIME PROVISIONS,MESS G,Chana Dal|Curry Leaves|Dish Soap|Mustard Seeds|Coconut|Yam
2024-05-20,21091,BHARATH SUPPLIERS,MESS F,Spinach|Semolina|Moong Dal|Cumin
2024-05-21,67004,FARM FRESH,MESS D,Bread|Butter|Eggs|Mustard Oil
2024-05-22,20929,PRIME PROVISIONS,MESS A,Spinach|Moong Dal|Cumin
2024-05-22,13334,FARM FRESH,MESS D,Tissue Paper|Butter|Potato
2024-05-23,18654,RICE WORLD,MESS A,Cocoa Powder|Curry Leaves|Spinach|Potato|Onion|Mustard Seeds
2024-05-23,17033,SRI VENKATA AGRO,MESS H,Bread|Butter|Eggs
2024-05-24,40864,DAIRY PLUS,MESS B,Mustard Seeds|Curry Leaves|Onion|Potato
2024-05-24,31587,NATURE BASKET,MESS F,Curry Leaves|Mutton|Food Color
2024-05-25,23456,BEST BULK,MESS G,Garam Masala|Green Moong|Coriander Powder|Onion|Tomato|Chicken
2024-05-26,41094,CITY PROVISIONS,MESS E,Chana Dal|Beans|Curry Leaves|Mustard Seeds|Pepper|Coconut
2024-05-26,12345,SPICE VALLEY,MESS I,Red Chilli Powder|Sunflower Oil
2024-05-27,516,CITY PROVISIONS,MESS C,Wheat Flour|Eggs
2024-05-28,60676,HERITAGE FOODS,MESS G,Sugar|Semolina|Asafoetida|Ghee|Milk
2024-05-29,18086,OIL DEPOT,MESS C,Garam Masala|Floor Cleaner|Coriander Powder|Onion|Tissue Paper|Tomato
2024-05-30,4153,ANANDA FOODS,MESS A,Wheat Flour|Sugar|Ghee
2024-05-31,44872,HERITAGE FOODS,MESS E,Sugar|Wheat Flour|Rajma|Ghee|Yam
2024-06-01,45188,SPICE VALLEY,MESS H,Bread|Butter|Eggs
2024-06-02,8279,LAKSHMI TRADERS,MESS B,Sugar|Semolina|Milk|Ghee
2024-06-03,50654,BHARATH SUPPLIERS,MESS A,Capsicum|Coconut Oil|Ridge Gourd|Tamarind|Sunflower Oil
2024-06-04,41833,HERITAGE FOODS,MESS I,Broken Wheat|Soy Sauce|Curd|Ghee|Coconut Oil
2024-06-05,28495,ANANDA FOODS,MESS D,Chana Dal|Cabbage|Curry Leaves|Mustard Seeds|Coconut
2024-06-06,18469,APEX AGRO,MESS A,Hand Wash|Cumin
2024-06-07,28436,GRAIN MART,MESS C,Poha|Spinach
2024-06-08,44582,SPICE VALLEY,MESS J,Sugar|Wheat Flour|Cornflour|Ghee|Pepper
2024-06-08,28258,GREEN LEAF,MESS G,Sunflower Oil|Jaggery|Yam|Spinach
2024-06-09,28651,GREEN LEAF,MESS G,Bread|Butter|Eggs
2024-06-10,11440,CITY PROVISIONS,MESS E,Brinjal|Coconut Oil
2024-06-11,48841,GRAIN MART,MESS E,Wheat Flour|Sugar|Ghee
2024-06-12,31592,HERITAGE FOODS,MESS C,Turmeric|Onion|Tamarind|Toor Dal|Tomato
2024-06-13,12732,FRESH FARMS,MESS B,Spinach|Moong Dal|Cumin
2024-06-13,42566,RICE WORLD,MESS J,Garam Masala|Maida|Coriander Powder|Onion|Tomato|Chicken
2024-06-14,25479,ANANDA FOODS,MESS J,Bournvita|Curry Leaves|Bread|Coffee Powder
2024-06-15,19389,SRI VENKATA AGRO,MESS D,Cumin|Turmeric
2024-06-15,4662,LAKSHMI TRADERS,MESS I,Mustard Seeds|Curry Leaves|Onion|Potato
2024-06-16,17266,KRISHNA STORES,MESS I,Mustard Seeds|Chana Dal|Curry Leaves|Coconut
2024-06-17,18666,GRAIN MART,MESS D,Turmeric|Tomato|Bitter Gourd|Eggs|Sunflower Oil
2024-06-17,20425,OIL DEPOT,MESS H,Rava|Wheat Flour|Sugar|Ghee
2024-06-18,19269,ANANDA FOODS,MESS D,Tomato|Coconut Oil|Oats|Wheat Flour
2024-06-19,44896,SUNNY FOODS,MESS G,Butter|Coconut Oil|Green Moong|Potato
2024-06-19,9338,SARAVANA STORES,MESS J,Baking Soda|Eggs|Tomato
2024-06-20,11025,LAKSHMI TRADERS,MESS G,Carrot|Fish
2024-06-20,8249,KRISHNA STORES,MESS C,Pickle|Curd
2024-06-21,9010,APEX AGRO,MESS F,Mustard Seeds|Curry Leaves|Onion|Potato
2024-06-22,43459,NATURE BASKET,MESS G,Bournvita|Cumin|Palm Oil|Watermelon|Moong Dal
2024-06-23,11433,GREEN LEAF,MESS E,Mustard Oil|Onion
2024-06-24,37133,SPICE VALLEY,MESS F,Maida|Salt|Tissue Paper|Onion|Fish
2024-06-24,51828,APEX AGRO,MESS I,Hand Wash|Curd|Butter|Bitter Gourd
2024-06-25,23256,FRESH FARMS,MESS G,Chana Dal|Cabbage|Curry Leaves|Mustard Seeds|Coconut
2024-06-26,17102,HERITAGE FOODS,MESS G,Mustard Seeds|Curry Leaves|Onion|Potato
2024-06-27,7094,PULSES PALACE,MESS H,Papad|Sugar|Milk|Tea Powder
2024-06-28,65011,PRIME PROVISIONS,MESS J,Turmeric|Onion|Tamarind|Apple|Toor Dal|Tomato
2024-06-29,8245,GRAIN MART,MESS I,Rajma|Jaggery|Tomato
2024-06-29,56428,CITY PROVISIONS,MESS G,Raw Banana|Sugar|Wheat Flour|Ghee|Sunflower Oil
2024-06-30,68486,BHARATH SUPPLIERS,MESS A,Masoor Dal|Tamarind|Soya Chunks|Peas|Papad
2024-07-01,27962,SARAVANA STORES,MESS F,Garam Masala|Tissue Paper|Horlicks|Pickle
2024-07-01,58264,CITY PROVISIONS,MESS G,Butter|Vermicelli|Bread|Eggs|Bitter Gourd
2024-07-02,23244,KRISHNA STORES,MESS B,Green Moong|Butter|Sugar
2024-07-03,23530,BHARATH SUPPLIERS,MESS G,Oats|Banana|Potato|Broken Wheat
2024-07-04,15973,RICE WORLD,MESS D,Oats|Ridge Gourd|Rava
2024-07-05,33588,SRI VENKATA AGRO,MESS G,Food Color|Maida
2024-07-05,21564,PURE HARVEST,MESS H,Palm Oil|Potato|Raw Banana|Vanilla Essence
2024-07-06,12416,OIL DEPOT,MESS D,Yam|Tissue Paper|Curry Leaves
2024-07-06,59542,RICE WORLD,MESS J,Drumstick|Fish|Ghee
2024-07-07,23767,FLOUR MILL CO,MESS I,Semolina|Urad Dal|Basmati Rice|Banana|Hand Wash
2024-07-08,8544,GREEN LEAF,MESS E,Mustard Seeds|Curry Leaves|Onion|Potato
2024-07-09,14192,CITY PROVISIONS,MESS F,Tissue Paper|Bournvita
2024-07-10,58841,LAKSHMI TRADERS,MESS J,Capsicum|Food Color|Papaya|Floor Cleaner
2024-07-10,10578,SARAVANA STORES,MESS I,Pickle|Curd|Black Chana
2024-07-11,23250,MASALA KING,MESS F,Curry Leaves|Potato|Onion|Groundnut Oil|Mustard Seeds
2024-07-12,27331,LAKSHMI TRADERS,MESS J,Tea Powder|Beans
2024-07-12,37868,FLOUR MILL CO,MESS G,Wheat Flour|Sugar|Ghee
2024-07-13,18163,VEGGIE HUB,MESS F,Toor Dal|Horlicks|Groundnut Oil
2024-07-13,27677,PRIME PROVISIONS,MESS C,Horlicks|Chana Dal|Black Chana
2024-07-14,5803,PADMA PROVISIONS,MESS D,Coconut Oil|Mango
2024-07-15,19439,APEX AGRO,MESS F,Pickle|Curd|Coconut
2024-07-16,27963,NATURE BASKET,MESS I,Salt|Food Color|Green Moong|Mustard Oil
2024-07-16,38824,AGRO TRADERS,MESS A,Wheat Flour|Sugar|Ghee
2024-07-17,7825,GRAIN MART,MESS G,Papaya|Tofu|Vermicelli|Chicken
2024-07-18,35031,PADMA PROVISIONS,MESS E,Wheat Flour|Sugar|Ghee
2024-07-19,25500,ANANDA FOODS,MESS C,Rajma|Pickle|Curd|Tofu
2024-07-20,62799,SRI VENKATA AGRO,MESS D,Garam Masala|Potato|Coriander Powder|Onion|Tomato|Chicken
2024-07-21,8440,GOODNESS GRAINS,MESS J,Chana Dal|Banana|Cornflour
2024-07-21,28066,PULSES PALACE,MESS H,Wheat Flour|Sugar|Ghee
2024-07-22,23228,SARAVANA STORES,MESS A,Scrub Pad|Sugar|Wheat Flour|Onion|Ghee
2024-07-22,34276,DAIRY PLUS,MESS G,Garam Masala|Spinach|Moong Dal|Cumin
2024-07-23,20331,PURE HARVEST,MESS C,Papad|Chana Dal|Curry Leaves|Mustard Seeds|Coconut
2024-07-23,23531,BEST BULK,MESS C,Spinach|Moong Dal|Cumin
2024-07-24,38341,PURE HARVEST,MESS I,Baking Soda|Mustard Oil|Apple
2024-07-25,34864,CITY PROVISIONS,MESS G,Sona Masoori Rice|Sugar|Semolina|Vermicelli|Ghee|Milk
2024-07-26,58283,PULSES PALACE,MESS A,Sugar|Semolina|Ghee|Mustard Seeds|Milk|Cumin
2024-07-27,32600,KRISHNA STORES,MESS A,Garam Masala|Coriander Powder|Onion|Tomato|Chicken
2024-07-28,47031,NATURE BASKET,MESS F,Turmeric|Onion|Tamarind|Toor Dal|Tomato
2024-07-29,20303,MASALA KING,MESS A,Curry Leaves|Potato|Coriander Powder|Onion|Apple|Mustard Seeds
2024-07-29,52929,OIL DEPOT,MESS B,Brinjal|Vinegar|Beans|Mustard Oil|Urad Dal
2024-07-30,21268,KRISHNA STORES,MESS A,Turmeric|Salt|Semolina|Onion|Tamarind|Toor Dal
2024-07-31,44032,GREEN LEAF,MESS I,Fish|Vanilla Essence|Ridge Gourd|Milk|Pepper
2024-08-01,31048,FLOUR MILL CO,MESS I,Cabbage|Cauliflower|Tofu
2024-08-01,77961,RICE WORLD,MESS I,Turmeric|Masoor Dal|Butter|Bread|Eggs
2024-08-02,11799,SARAVANA STORES,MESS G,Maida|Cumin
2024-08-03,30780,RICE WORLD,MESS E,Oats|Vanilla Essence|Paneer
