date,amount,vendor,classes
2023-01-05,535.0,FlowerDesign,POOLSIDE
2023-01-05,3303.75,LuxuryLinens,RESTAURANT
2023-01-05,9958.6,EssentialOils Co,RESTAURANT
2023-01-05,6177.66,LuxuryLinens,WELLNESS_SPA
2023-01-05,6929.49,EssentialOils Co,WELLNESS_SPA
2023-01-06,2195.04,EssentialOils Co,HOUSEKEEPING
2023-01-06,1693.26,TechConcierge,HOUSEKEEPING
2023-01-06,1011.82,FlowerDesign,HOUSEKEEPING
2023-01-06,997.88,LuxuryLinens,POOLSIDE
2023-01-06,4280.71,EssentialOils Co,POOLSIDE
2023-01-06,672.63,LuxuryLinens,RESTAURANT
2023-01-06,736.35,EssentialOils Co,RESTAURANT
2023-01-06,1269.29,GourmetImports,WELLNESS_SPA
2023-01-07,5363.52,GourmetImports,HOUSEKEEPING
2023-01-07,10195.37,FlowerDesign,HOUSEKEEPING
2023-01-07,3182.16,LuxuryLinens,POOLSIDE
2023-01-07,1854.76,GourmetImports,POOLSIDE
2023-01-07,4728.59,FlowerDesign,POOLSIDE
2023-01-07,900.64,GourmetImports,RESTAURANT
2023-01-07,1043.53,FlowerDesign,RESTAURANT
2023-01-07,2222.26,EssentialOils Co,WELLNESS_SPA
2023-01-07,1479.52,FlowerDesign,WELLNESS_SPA
2023-01-08,11316.65,LuxuryLinens,HOUSEKEEPING
2023-01-08,2635.86,EssentialOils Co,HOUSEKEEPING
2023-01-08,6561.27,LuxuryLinens,POOLSIDE
2023-01-08,2262.64,EssentialOils Co,POOLSIDE
2023-01-08,1012.41,TechConcierge,RESTAURANT
2023-01-08,307.89,PoolChem Experts,RESTAURANT
2023-01-08,5124.58,GourmetImports,RESTAURANT
2023-01-08,3109.04,LuxuryLinens,WELLNESS_SPA
2023-01-08,13923.62,EssentialOils Co,WELLNESS_SPA
2023-01-09,5207.1,EssentialOils Co,HOUSEKEEPING
2023-01-09,2012.52,GourmetImports,HOUSEKEEPING
2023-01-09,6035.12,FlowerDesign,HOUSEKEEPING
2023-01-09,175.35,GourmetImports,POOLSIDE
2023-01-09,2324.81,FlowerDesign,POOLSIDE
2023-01-09,3441.58,FlowerDesign,RESTAURANT
2023-01-09,1210.34,FlowerDesign,WELLNESS_SPA
2023-01-10,603.77,GourmetImports,HOUSEKEEPING
2023-01-10,11398.73,FlowerDesign,HOUSEKEEPING
2023-01-10,2132.41,PoolChem Experts,POOLSIDE
2023-01-10,1015.18,PoolChem Experts,RESTAURANT
2023-01-10,592.65,PoolChem Experts,WELLNESS_SPA
2023-01-10,2027.88,FlowerDesign,WELLNESS_SPA
2023-01-11,499.31,LuxuryLinens,HOUSEKEEPING
2023-01-11,2485.78,EssentialOils Co,HOUSEKEEPING
2023-01-11,1224.06,GourmetImports,HOUSEKEEPING
2023-01-11,770.85,GourmetImports,POOLSIDE
2023-01-11,909.78,FlowerDesign,POOLSIDE
2023-01-11,2434.64,GourmetImports,RESTAURANT
2023-01-11,743.62,FlowerDesign,RESTAURANT
2023-01-11,8359.77,LuxuryLinens,WELLNESS_SPA
2023-01-11,3650.9,EssentialOils Co,WELLNESS_SPA
2023-01-12,1265.71,TechConcierge,HOUSEKEEPING
2023-01-12,856.69,EssentialOils Co,HOUSEKEEPING
2023-01-12,1458.08,FlowerDesign,HOUSEKEEPING
2023-01-12,3278.78,EssentialOils Co,POOLSIDE
2023-01-12,1312.57,TechConcierge,POOLSIDE
2023-01-12,1735.62,FlowerDesign,POOLSIDE
2023-01-12,1086.98,LuxuryLinens,RESTAURANT
2023-01-12,1070.5,EssentialOils Co,RESTAURANT
2023-01-12,667.84,LuxuryLinens,WELLNESS_SPA
2023-01-12,725.41,EssentialOils Co,WELLNESS_SPA
2023-01-13,1270.13,GourmetImports,HOUSEKEEPING
2023-01-13,1716.96,EssentialOils Co,POOLSIDE
2023-01-13,928.56,GourmetImports,POOLSIDE
2023-01-13,6142.64,GourmetImports,RESTAURANT
2023-01-13,1945.33,FlowerDesign,RESTAURANT
2023-01-13,905.6,EssentialOils Co,WELLNESS_SPA
2023-01-13,3610.94,PoolChem Experts,WELLNESS_SPA
2023-01-14,2404.16,LuxuryLinens,HOUSEKEEPING
2023-01-14,3003.35,EssentialOils Co,HOUSEKEEPING
2023-01-14,6622.7,LuxuryLinens,POOLSIDE
2023-01-14,1504.13,TechConcierge,POOLSIDE
2023-01-14,676.4,FlowerDesign,POOLSIDE
2023-01-14,528.25,GourmetImports,RESTAURANT
2023-01-14,3464.81,FlowerDesign,RESTAURANT
2023-01-14,2292.25,TechConcierge,WELLNESS_SPA
2023-01-14,3122.8,PoolChem Experts,WELLNESS_SPA
2023-01-14,2243.8,GourmetImports,WELLNESS_SPA
2023-01-15,4901.14,EssentialOils Co,HOUSEKEEPING
2023-01-15,3421.94,PoolChem Experts,HOUSEKEEPING
2023-01-15,914.02,GourmetImports,HOUSEKEEPING
2023-01-15,995.74,GourmetImports,POOLSIDE
2023-01-15,5423.59,FlowerDesign,POOLSIDE
2023-01-15,270.93,GourmetImports,RESTAURANT
2023-01-15,406.55,FlowerDesign,RESTAURANT
2023-01-15,2713.79,EssentialOils Co,WELLNESS_SPA
2023-01-16,9911.97,LuxuryLinens,HOUSEKEEPING
2023-01-16,369.7,EssentialOils Co,HOUSEKEEPING
2023-01-16,5245.48,LuxuryLinens,POOLSIDE
2023-01-16,950.17,EssentialOils Co,POOLSIDE
2023-01-16,5000.57,EssentialOils Co,RESTAURANT
2023-01-16,1907.42,PoolChem Experts,RESTAURANT
2023-01-16,3355.04,FlowerDesign,RESTAURANT
2023-01-16,1658.82,TechConcierge,WELLNESS_SPA
2023-01-16,2228.25,EssentialOils Co,WELLNESS_SPA
2023-01-16,2324.6,GourmetImports,WELLNESS_SPA
2023-01-17,2370.88,GourmetImports,HOUSEKEEPING
2023-01-17,3582.52,FlowerDesign,HOUSEKEEPING
2023-01-17,626.68,GourmetImports,POOLSIDE
2023-01-17,1477.39,FlowerDesign,POOLSIDE
2023-01-17,338.92,GourmetImports,RESTAURANT
2023-01-17,508.77,FlowerDesign,RESTAURANT
2023-01-17,907.43,LuxuryLinens,WELLNESS_SPA
2023-01-17,4036.86,EssentialOils Co,WELLNESS_SPA
2023-01-17,4009.33,FlowerDesign,WELLNESS_SPA
2023-01-18,500.38,LuxuryLinens,HOUSEKEEPING
2023-01-18,3319.35,EssentialOils Co,HOUSEKEEPING
2023-01-18,2542.41,TechConcierge,POOLSIDE
2023-01-18,464.27,PoolChem Experts,POOLSIDE
2023-01-18,684.18,LuxuryLinens,RESTAURANT
2023-01-18,5247.17,LuxuryLinens,WELLNESS_SPA
2023-01-18,2428.2,EssentialOils Co,WELLNESS_SPA
2023-01-18,1003.87,PoolChem Experts,WELLNESS_SPA
2023-01-19,351.54,LuxuryLinens,HOUSEKEEPING
2023-01-19,3017.28,FlowerDesign,POOLSIDE
2023-01-19,5262.29,LuxuryLinens,RESTAURANT
2023-01-19,3480.55,TechConcierge,RESTAURANT
2023-01-19,360.98,GourmetImports,RESTAURANT
2023-01-19,1662.58,LuxuryLinens,WELLNESS_SPA
2023-01-19,6832.47,FlowerDesign,WELLNESS_SPA
2023-01-20,2789.69,EssentialOils Co,HOUSEKEEPING
2023-01-20,2488.19,TechConcierge,HOUSEKEEPING
2023-01-20,5184.41,LuxuryLinens,HOUSEKEEPING
2023-01-20,3854.09,LuxuryLinens,POOLSIDE
2023-01-20,1445.72,EssentialOils Co,POOLSIDE
2023-01-20,2244.39,GourmetImports,POOLSIDE
2023-01-20,1044.69,LuxuryLinens,RESTAURANT
2023-01-20,938.08,EssentialOils Co,RESTAURANT
2023-01-20,3727.77,LuxuryLinens,WELLNESS_SPA
2023-01-21,10116.61,LuxuryLinens,HOUSEKEEPING
2023-01-21,5991.97,PoolChem Experts,HOUSEKEEPING
2023-01-21,22020.44,FlowerDesign,HOUSEKEEPING
2023-01-21,1726.59,GourmetImports,POOLSIDE
2023-01-21,5842.25,FlowerDesign,POOLSIDE
2023-01-21,1173.14,GourmetImports,RESTAURANT
2023-01-21,639.61,FlowerDesign,RESTAURANT
2023-01-21,2274.66,LuxuryLinens,WELLNESS_SPA
2023-01-21,1111.02,EssentialOils Co,WELLNESS_SPA
2023-01-22,2879.63,LuxuryLinens,HOUSEKEEPING
2023-01-22,657.57,EssentialOils Co,HOUSEKEEPING
2023-01-22,1182.8,GourmetImports,POOLSIDE
2023-01-22,366.69,FlowerDesign,POOLSIDE
2023-01-22,1635.54,LuxuryLinens,RESTAURANT
2023-01-22,1075.18,EssentialOils Co,RESTAURANT
2023-01-22,11560.89,PoolChem Experts,RESTAURANT
2023-01-22,2104.83,GourmetImports,WELLNESS_SPA
2023-01-22,1468.25,FlowerDesign,WELLNESS_SPA
2023-01-23,2018.38,FlowerDesign,HOUSEKEEPING
2023-01-23,957.47,LuxuryLinens,POOLSIDE
2023-01-23,5608.45,EssentialOils Co,POOLSIDE
2023-01-23,2473.29,GourmetImports,POOLSIDE
2023-01-23,1231.21,GourmetImports,RESTAURANT
2023-01-23,1104.54,FlowerDesign,RESTAURANT
2023-01-23,511.56,LuxuryLinens,WELLNESS_SPA
2023-01-24,974.85,LuxuryLinens,HOUSEKEEPING
2023-01-24,2674.84,TechConcierge,HOUSEKEEPING
2023-01-24,728.19,EssentialOils Co,HOUSEKEEPING
2023-01-24,2097.2,EssentialOils Co,POOLSIDE
2023-01-24,480.14,PoolChem Experts,POOLSIDE
2023-01-24,16339.58,FlowerDesign,POOLSIDE
2023-01-24,4169.66,LuxuryLinens,RESTAURANT
2023-01-24,1189.76,EssentialOils Co,RESTAURANT
2023-01-24,914.79,LuxuryLinens,WELLNESS_SPA
2023-01-24,2236.48,EssentialOils Co,WELLNESS_SPA
2023-01-25,934.51,EssentialOils Co,HOUSEKEEPING
2023-01-25,2100.21,PoolChem Experts,HOUSEKEEPING
2023-01-25,6082.86,FlowerDesign,HOUSEKEEPING
2023-01-25,2701.69,LuxuryLinens,POOLSIDE
2023-01-25,467.21,EssentialOils Co,POOLSIDE
2023-01-25,4257.76,EssentialOils Co,RESTAURANT
2023-01-25,565.14,GourmetImports,RESTAURANT
2023-01-25,3035.92,LuxuryLinens,WELLNESS_SPA
2023-01-26,1477.31,GourmetImports,HOUSEKEEPING
2023-01-26,2519.58,FlowerDesign,HOUSEKEEPING
2023-01-26,1342.06,LuxuryLinens,POOLSIDE
2023-01-26,4090.08,EssentialOils Co,POOLSIDE
2023-01-26,607.12,TechConcierge,RESTAURANT
2023-01-26,350.56,LuxuryLinens,WELLNESS_SPA
2023-01-26,2831.58,TechConcierge,WELLNESS_SPA
2023-01-27,826.08,TechConcierge,HOUSEKEEPING
2023-01-27,5366.2,PoolChem Experts,HOUSEKEEPING
2023-01-27,5055.04,LuxuryLinens,POOLSIDE
2023-01-27,1005.14,EssentialOils Co,POOLSIDE
2023-01-27,1242.4,TechConcierge,POOLSIDE
2023-01-27,1221.84,GourmetImports,RESTAURANT
2023-01-27,443.49,FlowerDesign,RESTAURANT
2023-01-27,1821.65,LuxuryLinens,WELLNESS_SPA
2023-01-27,2941.77,PoolChem Experts,WELLNESS_SPA
2023-01-27,4090.19,FlowerDesign,WELLNESS_SPA
2023-01-28,2621.08,GourmetImports,HOUSEKEEPING
2023-01-28,4575.45,FlowerDesign,HOUSEKEEPING
2023-01-28,2584.02,GourmetImports,POOLSIDE
2023-01-28,3536.14,FlowerDesign,POOLSIDE
2023-01-28,1124.75,LuxuryLinens,RESTAURANT
2023-01-28,274.48,EssentialOils Co,RESTAURANT
2023-01-28,2083.19,EssentialOils Co,WELLNESS_SPA
2023-01-28,732.83,GourmetImports,WELLNESS_SPA
2023-01-28,1564.87,FlowerDesign,WELLNESS_SPA
2023-01-29,211.04,TechConcierge,HOUSEKEEPING
2023-01-29,4475.0,PoolChem Experts,HOUSEKEEPING
2023-01-29,7026.74,GourmetImports,POOLSIDE
2023-01-29,2307.04,FlowerDesign,POOLSIDE
2023-01-29,22125.4,GourmetImports,RESTAURANT
2023-01-29,6957.38,FlowerDesign,RESTAURANT
2023-01-29,2978.28,EssentialOils Co,WELLNESS_SPA
2023-01-29,358.34,PoolChem Experts,WELLNESS_SPA
2023-01-30,598.37,LuxuryLinens,HOUSEKEEPING
2023-01-30,1782.71,LuxuryLinens,POOLSIDE
2023-01-30,6552.23,EssentialOils Co,POOLSIDE
2023-01-30,5903.54,PoolChem Experts,POOLSIDE
2023-01-30,1886.98,LuxuryLinens,RESTAURANT
2023-01-30,1846.06,GourmetImports,RESTAURANT
2023-01-30,1800.12,FlowerDesign,RESTAURANT
2023-01-30,545.95,LuxuryLinens,WELLNESS_SPA
2023-01-30,7765.74,EssentialOils Co,WELLNESS_SPA
2023-01-31,2374.64,LuxuryLinens,HOUSEKEEPING
2023-01-31,885.91,TechConcierge,HOUSEKEEPING
2023-01-31,1024.3,FlowerDesign,HOUSEKEEPING
2023-01-31,3444.06,EssentialOils Co,POOLSIDE
2023-01-31,6510.61,FlowerDesign,RESTAURANT
2023-01-31,3413.48,LuxuryLinens,WELLNESS_SPA
2023-01-31,562.15,EssentialOils Co,WELLNESS_SPA
2023-02-01,1238.54,FlowerDesign,HOUSEKEEPING
2023-02-01,3311.49,LuxuryLinens,POOLSIDE
2023-02-01,2304.42,TechConcierge,POOLSIDE
2023-02-01,4642.85,PoolChem Experts,POOLSIDE
2023-02-01,891.14,LuxuryLinens,RESTAURANT
2023-02-01,11293.46,EssentialOils Co,RESTAURANT
2023-02-01,1710.63,LuxuryLinens,WELLNESS_SPA
2023-02-01,1980.13,PoolChem Experts,WELLNESS_SPA
2023-02-02,14259.71,FlowerDesign,HOUSEKEEPING
2023-02-02,1418.06,FlowerDesign,POOLSIDE
2023-02-02,2108.34,GourmetImports,RESTAURANT
2023-02-02,753.08,FlowerDesign,RESTAURANT
2023-02-02,4327.96,LuxuryLinens,WELLNESS_SPA
2023-02-02,559.02,EssentialOils Co,WELLNESS_SPA
2023-02-03,793.75,EssentialOils Co,HOUSEKEEPING
2023-02-03,784.98,GourmetImports,POOLSIDE
2023-02-03,3404.3,LuxuryLinens,RESTAURANT
2023-02-03,7778.83,LuxuryLinens,WELLNESS_SPA
2023-02-03,4471.03,EssentialOils Co,WELLNESS_SPA
2023-02-04,982.2,LuxuryLinens,HOUSEKEEPING
2023-02-04,575.04,EssentialOils Co,HOUSEKEEPING
2023-02-04,1489.11,TechConcierge,POOLSIDE
2023-02-04,1352.8,FlowerDesign,POOLSIDE
2023-02-04,3794.32,PoolChem Experts,RESTAURANT
2023-02-04,1706.14,GourmetImports,WELLNESS_SPA
2023-02-04,1112.95,FlowerDesign,WELLNESS_SPA
2023-02-05,771.36,PoolChem Experts,HOUSEKEEPING
2023-02-05,1117.19,LuxuryLinens,POOLSIDE
2023-02-05,1895.98,EssentialOils Co,POOLSIDE
2023-02-05,952.09,GourmetImports,RESTAURANT
2023-02-05,2560.84,FlowerDesign,RESTAURANT
2023-02-05,801.18,TechConcierge,WELLNESS_SPA
2023-02-06,1339.91,PoolChem Experts,HOUSEKEEPING
2023-02-06,1062.13,GourmetImports,HOUSEKEEPING
2023-02-06,979.44,LuxuryLinens,POOLSIDE
2023-02-06,1787.93,EssentialOils Co,POOLSIDE
2023-02-06,2096.45,LuxuryLinens,RESTAURANT
2023-02-06,1932.36,EssentialOils Co,RESTAURANT
2023-02-06,830.16,LuxuryLinens,WELLNESS_SPA
2023-02-07,5027.47,EssentialOils Co,HOUSEKEEPING
2023-02-07,832.79,GourmetImports,POOLSIDE
2023-02-07,380.06,FlowerDesign,POOLSIDE
2023-02-07,1253.02,PoolChem Experts,RESTAURANT
2023-02-07,973.37,GourmetImports,RESTAURANT
2023-02-07,1953.34,FlowerDesign,RESTAURANT
2023-02-07,1064.02,LuxuryLinens,WELLNESS_SPA
2023-02-07,770.03,TechConcierge,WELLNESS_SPA
2023-02-07,896.46,FlowerDesign,WELLNESS_SPA
2023-02-08,8741.49,LuxuryLinens,HOUSEKEEPING
2023-02-08,1999.04,EssentialOils Co,HOUSEKEEPING
2023-02-08,1577.82,GourmetImports,POOLSIDE
2023-02-08,4455.28,LuxuryLinens,RESTAURANT
2023-02-08,2692.39,PoolChem Experts,RESTAURANT
2023-02-08,903.45,FlowerDesign,WELLNESS_SPA
2023-02-09,41178.0,LuxuryLinens,HOUSEKEEPING
2023-02-09,1545.73,GourmetImports,POOLSIDE
2023-02-09,1627.23,FlowerDesign,POOLSIDE
2023-02-09,2340.3,LuxuryLinens,RESTAURANT
2023-02-09,396.07,LuxuryLinens,WELLNESS_SPA
2023-02-09,1477.92,EssentialOils Co,WELLNESS_SPA
2023-02-10,1190.63,LuxuryLinens,HOUSEKEEPING
2023-02-10,4412.91,EssentialOils Co,HOUSEKEEPING
2023-02-10,4259.36,PoolChem Experts,HOUSEKEEPING
2023-02-10,1102.91,PoolChem Experts,POOLSIDE
2023-02-10,864.78,GourmetImports,POOLSIDE
2023-02-10,543.61,FlowerDesign,POOLSIDE
2023-02-10,1519.44,LuxuryLinens,RESTAURANT
2023-02-10,965.0,TechConcierge,RESTAURANT
2023-02-10,1783.91,PoolChem Experts,RESTAURANT
2023-02-10,2504.96,TechConcierge,WELLNESS_SPA
2023-02-10,1139.32,PoolChem Experts,WELLNESS_SPA
2023-02-11,1643.88,LuxuryLinens,HOUSEKEEPING
2023-02-11,7614.74,EssentialOils Co,HOUSEKEEPING
2023-02-11,2329.13,LuxuryLinens,POOLSIDE
2023-02-11,3007.35,EssentialOils Co,POOLSIDE
2023-02-11,1062.62,PoolChem Experts,RESTAURANT
2023-02-11,2641.34,GourmetImports,RESTAURANT
2023-02-11,1485.0,FlowerDesign,RESTAURANT
2023-02-11,7217.06,LuxuryLinens,WELLNESS_SPA
2023-02-11,681.44,GourmetImports,WELLNESS_SPA
2023-02-11,802.98,FlowerDesign,WELLNESS_SPA
2023-02-12,6195.68,LuxuryLinens,HOUSEKEEPING
2023-02-12,3465.3,EssentialOils Co,HOUSEKEEPING
2023-02-12,635.6,PoolChem Experts,HOUSEKEEPING
2023-02-12,772.37,FlowerDesign,POOLSIDE
2023-02-12,3686.42,LuxuryLinens,RESTAURANT
2023-02-12,2487.64,EssentialOils Co,RESTAURANT
2023-02-12,1635.2,LuxuryLinens,WELLNESS_SPA
2023-02-12,1065.53,TechConcierge,WELLNESS_SPA
2023-02-12,2556.66,FlowerDesign,WELLNESS_SPA
2023-02-13,1225.18,EssentialOils Co,HOUSEKEEPING
2023-02-13,2350.39,TechConcierge,HOUSEKEEPING
2023-02-13,1002.65,PoolChem Experts,HOUSEKEEPING
2023-02-13,757.14,LuxuryLinens,POOLSIDE
2023-02-13,583.37,EssentialOils Co,POOLSIDE
2023-02-13,3281.63,LuxuryLinens,RESTAURANT
2023-02-13,1178.17,LuxuryLinens,WELLNESS_SPA
2023-02-13,2188.44,EssentialOils Co,WELLNESS_SPA
2023-02-14,24938.28,TechConcierge,HOUSEKEEPING
2023-02-14,16944.6,GourmetImports,HOUSEKEEPING
2023-02-14,626.19,LuxuryLinens,POOLSIDE
2023-02-14,5754.35,EssentialOils Co,POOLSIDE
2023-02-14,1776.12,GourmetImports,RESTAURANT
2023-02-14,3837.54,FlowerDesign,RESTAURANT
2023-02-14,4879.68,GourmetImports,WELLNESS_SPA
2023-02-14,887.18,FlowerDesign,WELLNESS_SPA
2023-02-15,2491.82,GourmetImports,HOUSEKEEPING
2023-02-15,1133.77,FlowerDesign,HOUSEKEEPING
2023-02-15,823.75,GourmetImports,POOLSIDE
2023-02-15,632.25,FlowerDesign,POOLSIDE
2023-02-15,4241.03,LuxuryLinens,RESTAURANT
2023-02-15,3724.63,EssentialOils Co,RESTAURANT
2023-02-15,1534.79,LuxuryLinens,WELLNESS_SPA
2023-02-15,7704.11,EssentialOils Co,WELLNESS_SPA
2023-02-16,427.17,EssentialOils Co,HOUSEKEEPING
2023-02-16,597.19,GourmetImports,HOUSEKEEPING
2023-02-16,4232.82,FlowerDesign,HOUSEKEEPING
2023-02-16,11270.53,LuxuryLinens,POOLSIDE
2023-02-16,11087.67,EssentialOils Co,POOLSIDE
2023-02-16,2194.1,LuxuryLinens,RESTAURANT
2023-02-16,4950.04,EssentialOils Co,RESTAURANT
2023-02-16,2473.09,LuxuryLinens,WELLNESS_SPA
2023-02-16,1751.43,EssentialOils Co,WELLNESS_SPA
2023-02-17,4475.26,EssentialOils Co,HOUSEKEEPING
2023-02-17,1597.67,GourmetImports,HOUSEKEEPING
2023-02-17,3498.64,LuxuryLinens,POOLSIDE
2023-02-17,2200.39,EssentialOils Co,POOLSIDE
2023-02-17,6223.87,LuxuryLinens,RESTAURANT
2023-02-17,815.31,TechConcierge,RESTAURANT
2023-02-17,695.94,GourmetImports,WELLNESS_SPA
2023-02-18,653.47,LuxuryLinens,HOUSEKEEPING
2023-02-18,2041.97,EssentialOils Co,HOUSEKEEPING
2023-02-18,1343.48,LuxuryLinens,POOLSIDE
2023-02-18,1632.15,EssentialOils Co,RESTAURANT
2023-02-18,2988.86,GourmetImports,RESTAURANT
2023-02-18,732.63,LuxuryLinens,WELLNESS_SPA
2023-02-18,550.48,EssentialOils Co,WELLNESS_SPA
2023-02-19,1408.76,PoolChem Experts,HOUSEKEEPING
2023-02-19,466.93,GourmetImports,POOLSIDE
2023-02-19,2532.86,FlowerDesign,POOLSIDE
2023-02-19,24439.68,LuxuryLinens,RESTAURANT
2023-02-19,319.2,EssentialOils Co,RESTAURANT
2023-02-19,2971.75,LuxuryLinens,WELLNESS_SPA
2023-02-19,2224.25,EssentialOils Co,WELLNESS_SPA
2023-02-20,1039.26,LuxuryLinens,HOUSEKEEPING
2023-02-20,2441.64,EssentialOils Co,HOUSEKEEPING
2023-02-20,3484.01,PoolChem Experts,POOLSIDE
2023-02-20,747.98,FlowerDesign,POOLSIDE
2023-02-20,2859.81,TechConcierge,RESTAURANT
2023-02-20,7350.21,GourmetImports,RESTAURANT
2023-02-20,3136.12,FlowerDesign,RESTAURANT
2023-02-20,6661.65,TechConcierge,WELLNESS_SPA
2023-02-20,1518.62,PoolChem Experts,WELLNESS_SPA
2023-02-20,1415.26,FlowerDesign,WELLNESS_SPA
2023-02-21,831.56,EssentialOils Co,HOUSEKEEPING
2023-02-21,5258.87,PoolChem Experts,HOUSEKEEPING
2023-02-21,379.05,FlowerDesign,HOUSEKEEPING
2023-02-21,650.87,GourmetImports,POOLSIDE
2023-02-21,1698.31,FlowerDesign,POOLSIDE
2023-02-21,4732.99,LuxuryLinens,RESTAURANT
2023-02-21,2094.77,TechConcierge,RESTAURANT
2023-02-21,4411.38,PoolChem Experts,RESTAURANT
2023-02-21,639.19,GourmetImports,WELLNESS_SPA
2023-02-21,5053.18,FlowerDesign,WELLNESS_SPA
2023-02-22,3165.19,LuxuryLinens,HOUSEKEEPING
2023-02-22,2204.75,EssentialOils Co,HOUSEKEEPING
2023-02-22,535.4,GourmetImports,POOLSIDE
2023-02-22,1846.31,FlowerDesign,POOLSIDE
2023-02-22,1971.97,EssentialOils Co,RESTAURANT
2023-02-22,1390.02,FlowerDesign,RESTAURANT
2023-02-22,287.7,GourmetImports,WELLNESS_SPA
2023-02-23,601.23,TechConcierge,HOUSEKEEPING
2023-02-23,1862.31,TechConcierge,POOLSIDE
2023-02-23,1668.3,PoolChem Experts,POOLSIDE
2023-02-23,149.35,FlowerDesign,POOLSIDE
2023-02-23,2693.48,TechConcierge,RESTAURANT
2023-02-23,2337.85,PoolChem Experts,RESTAURANT
2023-02-23,1176.79,FlowerDesign,RESTAURANT
2023-02-23,1689.59,EssentialOils Co,WELLNESS_SPA
2023-02-23,8733.71,GourmetImports,WELLNESS_SPA
2023-02-23,844.31,FlowerDesign,WELLNESS_SPA
2023-02-24,1239.25,LuxuryLinens,HOUSEKEEPING
2023-02-24,8747.19,EssentialOils Co,HOUSEKEEPING
2023-02-24,11937.72,PoolChem Experts,HOUSEKEEPING
2023-02-24,3263.08,GourmetImports,POOLSIDE
2023-02-24,2595.6,FlowerDesign,POOLSIDE
2023-02-24,2386.95,LuxuryLinens,RESTAURANT
2023-02-24,621.17,EssentialOils Co,RESTAURANT
2023-02-24,4902.52,LuxuryLinens,WELLNESS_SPA
2023-02-24,36349.87,EssentialOils Co,WELLNESS_SPA
2023-02-25,4670.14,TechConcierge,HOUSEKEEPING
2023-02-25,14864.8,PoolChem Experts,HOUSEKEEPING
2023-02-25,455.46,GourmetImports,HOUSEKEEPING
2023-02-25,2415.34,LuxuryLinens,POOLSIDE
2023-02-25,323.52,EssentialOils Co,POOLSIDE
2023-02-25,757.26,EssentialOils Co,RESTAURANT
2023-02-25,9320.51,GourmetImports,RESTAURANT
2023-02-25,749.69,FlowerDesign,RESTAURANT
2023-02-25,3808.62,LuxuryLinens,WELLNESS_SPA
2023-02-25,2872.29,EssentialOils Co,WELLNESS_SPA
2023-02-26,3330.93,EssentialOils Co,HOUSEKEEPING
2023-02-26,552.07,PoolChem Experts,HOUSEKEEPING
2023-02-26,452.82,FlowerDesign,HOUSEKEEPING
2023-02-26,1625.56,LuxuryLinens,POOLSIDE
2023-02-26,1206.59,EssentialOils Co,POOLSIDE
2023-02-26,917.81,LuxuryLinens,RESTAURANT
2023-02-26,1494.9,EssentialOils Co,RESTAURANT
2023-02-26,756.52,GourmetImports,WELLNESS_SPA
2023-02-26,2936.43,FlowerDesign,WELLNESS_SPA
2023-02-27,2244.88,GourmetImports,HOUSEKEEPING
2023-02-27,1535.43,FlowerDesign,HOUSEKEEPING
2023-02-27,447.73,LuxuryLinens,POOLSIDE
